FlorentineDrawings_IdentifierBB1961,BB_1903_PlateNumber,plate_number_arabic,plate_arabic_w_leading_zeros,BB_1903_number_letter,Verso?,SEQUENCE NUMBER,,,,IIIF_1903plate_URL,Plate AWS 200px Thumbnail,Plate AWS 500px Thumbnail
0000758-Berenson,I,1,001,758,,22,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$22i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_001.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_001.jpg
0000162-Berenson,II,2,002,162,,28,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$28i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_002.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_002.jpg
0000163-Berenson,III,3,003,163,,32,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$32i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_003.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_003.jpg
0000163-Berenson,IV,4,004,163,VERSO,42,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$42i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_004.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_004.jpg
0001752-Berenson,V,5,005,1752,,46,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$46i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_005.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_005.jpg
0000532-Berenson,VI,6,006,532,,52,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$52i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_006.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_006.jpg
0000540-Berenson,VII,7,007,540,,56,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$56i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_007.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_007.jpg
0000537-Berenson,VIII,8,008,537,,66,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$66i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_008.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_008.jpg
0000542-Berenson,IX,9,009,542,,70,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$70i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_009.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_009.jpg
0001868-Berenson,X,10,010,1868,,76,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$76i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_010.jpg
0002769-Berenson,XI,11,011,2769,,80,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$80i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_011.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_011.jpg
0002766-Berenson,XII,12,012,2766,,90,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$90i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_012.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_012.jpg
0001905-Berenson,XIII,13,013,1905,,94,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$94i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_013.jpg
