0000017-Berenson1961,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto"
0000002-Berenson1961,"Albertinelli, Mariotto",2,2,"Albertinelli, Mariotto",2,"Albertinelli, Mariotto"
0000003-Berenson1961,"Albertinelli, Mariotto",3,3,"Albertinelli, Mariotto",3,"Albertinelli, Mariotto"
0000004-Berenson1961,"Albertinelli, Mariotto",4,4,"Albertinelli, Mariotto",4,"Albertinelli, Mariotto"
0000001-Berenson1961,"Albertinelli, Mariotto",1,1,"Albertinelli, Mariotto",1,"Albertinelli, Mariotto"
0000005-Berenson1961,"Albertinelli, Mariotto",5,5,"Albertinelli, Mariotto",5,"Albertinelli, Mariotto"
0000006-Berenson1961,"Albertinelli, Mariotto",6,6,"Albertinelli, Mariotto",6,"Albertinelli, Mariotto"
0000007-Berenson1961,"Albertinelli, Mariotto",7,7,"Albertinelli, Mariotto",7,"Albertinelli, Mariotto"
0000008-Berenson1961,"Albertinelli, Mariotto",8,8,"Albertinelli, Mariotto",8,"Albertinelli, Mariotto"
0000009-Berenson1961,"Albertinelli, Mariotto",9,9,"Albertinelli, Mariotto",9,"Albertinelli, Mariotto"
0000010-Berenson1961,"Albertinelli, Mariotto",10,10,"Albertinelli, Mariotto",10,"Albertinelli, Mariotto"
000275A-Berenson1961,"Bartolommeo,  Fra",275 A,275 A,"Bartolommeo,  Fra",11,"Albertinelli, Mariotto"
0000012-Berenson1961,"Albertinelli, Mariotto",12,12,"Albertinelli, Mariotto",12,"Albertinelli, Mariotto"
0000013-Berenson1961,"Albertinelli, Mariotto",13,13,"Albertinelli, Mariotto",13,"Albertinelli, Mariotto"
0000014-Berenson1961,"Albertinelli, Mariotto",14,14,"Albertinelli, Mariotto",14,"Albertinelli, Mariotto"
0000015-Berenson1961,"Albertinelli, Mariotto",15,15,"Albertinelli, Mariotto",15,"Albertinelli, Mariotto"
0000018-Berenson1961,"Albertinelli, Mariotto",18,18,"Albertinelli, Mariotto",18,"Albertinelli, Mariotto"
0001006-Berenson1961,"Granacci, Francesco",1006,1006,"Granacci, Francesco",19,"Albertinelli, Mariotto"
0000020-Berenson1961,"Albertinelli, Mariotto",20,20,"Albertinelli, Mariotto",20,"Albertinelli, Mariotto"
000463A-Berenson1961,"Bartolommeo,  Fra",463 A,463 A,"Bartolommeo,  Fra",16,"Albertinelli, Mariotto"
000141A-Berenson1961,"Sarto, Andrea del",141 A,141 A,"Sarto, Andrea del",137,"Sarto, Andrea del"
0000160-Berenson1961,"Sarto, Andrea del",160,160,"Sarto, Andrea del",160,"Sarto, Andrea del"
0000161-Berenson1961,"Sarto, Andrea del",161,161,"Sarto, Andrea del",161,"Sarto, Andrea del"
000055H-Berenson1961,"Sarto, Andrea del",55 H,55 H,"Sarto, Andrea del",1958,Pontormo
0000142-Berenson1961,"Sarto, Andrea del",142,142,"Sarto, Andrea del",142,"Sarto, Andrea del"
0000143-Berenson1961,"Sarto, Andrea del",143,143,"Sarto, Andrea del",143,"Sarto, Andrea del"
0000144-Berenson1961,"Sarto, Andrea del",144,144,"Sarto, Andrea del",144,"Sarto, Andrea del"
0000145-Berenson1961,"Sarto, Andrea del",145,145,"Sarto, Andrea del",145,"Sarto, Andrea del"
0000146-Berenson1961,"Sarto, Andrea del",146,146,"Sarto, Andrea del",146,"Sarto, Andrea del"
0000148-Berenson1961,"Sarto, Andrea del",148,148,"Sarto, Andrea del",148,"Sarto, Andrea del"
0000149-Berenson1961,"Sarto, Andrea del",149,149,"Sarto, Andrea del",149,"Sarto, Andrea del"
0000150-Berenson1961,"Sarto, Andrea del",150,150,"Sarto, Andrea del",150,"Sarto, Andrea del"
0000151-Berenson1961,"Sarto, Andrea del",151,151,"Sarto, Andrea del",151,"Sarto, Andrea del"
0000152-Berenson1961,"Sarto, Andrea del",152,152,"Sarto, Andrea del",152,"Sarto, Andrea del"
0000153-Berenson1961,"Sarto, Andrea del",153,153,"Sarto, Andrea del",153,"Sarto, Andrea del"
0000155-Berenson1961,"Sarto, Andrea del",155,155,"Sarto, Andrea del",155,"Sarto, Andrea del"
0000157-Berenson1961,"Sarto, Andrea del",157,157,"Sarto, Andrea del",157,"Sarto, Andrea del"
0000158-Berenson1961,"Sarto, Andrea del",158,158,"Sarto, Andrea del",158,"Sarto, Andrea del"
0000159-Berenson1961,"Sarto, Andrea del",159,159,"Sarto, Andrea del",159,"Sarto, Andrea del"
0000056-Berenson1961,"Sarto, Andrea del",56,56,"Sarto, Andrea del",56,"Sarto, Andrea del"
000108A-Berenson1961,"Sarto, Andrea del",108 A,108 A,"Sarto, Andrea del",57,"Sarto, Andrea del"
000108C-Berenson1961,"Sarto, Andrea del",108 C,108 C,"Sarto, Andrea del",58,"Sarto, Andrea del"
000109A-Berenson1961,"Sarto, Andrea del",109 A,109 A,"Sarto, Andrea del",59,"Sarto, Andrea del"
000109B-Berenson1961,"Sarto, Andrea del",109 B,109 B,"Sarto, Andrea del",60,"Sarto, Andrea del"
000110B-Berenson1961,"Sarto, Andrea del",110 B,110 B,"Sarto, Andrea del",61,"Sarto, Andrea del"
000110C-Berenson1961,"Sarto, Andrea del",110 C,110 C,"Sarto, Andrea del",62,"Sarto, Andrea del"
000110D-Berenson1961,"Sarto, Andrea del",110 D,110 D,"Sarto, Andrea del",63,"Sarto, Andrea del"
