FlorentineDrawings_IdentifierBB1961,BB_1961_number_letter,,,,BB_1938_number_letter,BB_1938_FirstPageNumber,BB_1938_LastPageNumber,BB_1903_number_letter,BB_1903_number_sortable,BB_1903_FirstPageNumber,BB_1903_LastPageNumber,1903_IIIF_URL,1903_200px_image,1903_500px_image
0000001-Berenson,1,,5,,1,1,,1,1,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000002-Berenson,2,,5,,2,1,,2,2,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000003-Berenson,3,,,,3,1,,3,3,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000004-Berenson,4,,,,4,1,,4,4,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000005-Berenson,5,,,,5,1,,5,5,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000006-Berenson,6,,,,6,1,,6,6,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000007-Berenson,7,,,,7,1,,7,7,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000008-Berenson,8,,,,8,1,,8,8,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000009-Berenson,9,,5,,9,1,,9,9,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000010-Berenson,10,,5,,10,1,,10,10,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
000275A-Berenson,275,A,,,275 A,29,,11,11,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000012-Berenson,12,,6,,12,1,,12,12,1,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$10i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__010.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__010.jpg
0000013-Berenson,13,,6,,13,1,,13,13,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000014-Berenson,14,,6,,14,1,,14,14,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000015-Berenson,15,,6,,15,2,,15,15,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
000463A-Berenson,463,A,,,463 A,41,,16,16,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000017-Berenson,17,,6,,17,2,,17,17,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
