FlorentineDrawings_IdentifierBB1961,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Former_collection,Former_collection_URI,BB_1961_Inventory_number,Inventory_number_correction,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
0000017-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,4,,17,17,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Vergine Annunciata,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,17,17,"Albertinelli, Mariotto",,,Virgin for Annunciation,,Early,,17,17,"Albertinelli, Mariotto",,,,,,,,
0000002-Berenson1961,Berlin,http://sws.geonames.org/2950159,Germany,http://sws.geonames.org/2921044,Kupferstichkabinett,http://viaf.org/viaf/132000764/,,,,,2309,,2,2,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Due nudi di donna e due di fanciulli ,sei putti in diversi atteggiamenti,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,"Same as 1938, in Italian",,2,2,,,,Two nude women and two nude ,Six putti in various attitudes children,"Coarser than Fra Bartolommeo, and done with a more stubby pen",,2,2,"Albertinelli, Mariotto",,,,,Same as 1938,,,
0000003-Berenson1961,Berlin,http://sws.geonames.org/2950159,Germany,http://sws.geonames.org/2921044,Kupferstichkabinett,http://viaf.org/viaf/132000764/,,,,,5037,,3,3,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,"Figura per la ""Visitazione"" degli Uffizi (n. 1586)",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,,,3,3,,,,Figure for the Uffizi Visitation,,,,3,3,"Albertinelli, Mariotto",,,,,,,,
0000004-Berenson1961,Berlin,http://sws.geonames.org/2950159,Germany,http://sws.geonames.org/2921044,Kupferstichkabinett,http://viaf.org/viaf/132000764/,,,,,5140,,4,4,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Studi per una Madonna con Bambino,,,metalpoint,getty_metalpoint,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,4,4,,,,Sheet of studies for Madonna and Child,,The best in these materials,,4,4,"Albertinelli, Mariotto",,,,,Same as 1938,,,
0000001-Berenson1961,Amsterdam,http://sws.geonames.org/2759794,Holland,http://sws.geonames.org/2750405,Fodor Museum,http://viaf.org/viaf/263460775/,,,,,872,,1,1,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Madonna con due Angeli e studi per fanciulli,,,metalpoint,getty_metalpoint,,,,,,,,,,,,,,,,,,,1,1,,,,"Madonna with two angels, and studies of children",,,,1,1,"Albertinelli, Mariotto",,,,,,,,Check if Fodor Museum had been actually taken over by StedelijkMuseum
0000005-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,177.E,,5,5,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Madonna con due Angeli e studi per fanciulli,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,5,5,,,,Madonna and Child,,"Ascribed to Fra Bartolomeo, but the coarse features and the fumbling stroke make it more probable that this drawing is Albertinelli's. The late Mr. Charles Loeser, in the Uffizi publication just referred to, would ascribe this little sketch to Piero di Cosimo. Much could be adduced in favour of this attribution as the likeness in the hatching and stroke between this sketch and others by Piero is undeniable. It can, however, be accounted for by Albertinelli's having been taught drawingin Piero's studio. The round head and deep-set eyes of the Child, so much like my 1852, could be explained in the same way. But, above all, I do not remember any composition of Piero's so close in pattern and contrapposto to both Fra Bartolomeo and Raphael. It looks like a drawing done in 1505 or 1508",,5,5,"Albertinelli, Mariotto",,,,,Same as 1938,,,
0000006-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,308.F,,6,6,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Annunciazione,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,,,6,6,,,,Annunciation,,,,6,6,"Albertinelli, Mariotto",,,,,,,,
0000007-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,512.E,,7,7,418,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Angelo annunciante,,,metalpoint,getty_metalpoint,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,7,7,,,,Angel for Annunciation in Cathedral at Volterra,,"Ascribed to Credi The folds in this sketch as in some of Albertinelli's paintings (notably the Volterra picture or the Pitti Nativity, n. 365) would tend to prove that Albertinelli was not at the start the pupil of Credi, but of ""Tommaso"". If, however, ""Tommaso"" was only a phase of Piero di Cosimo, as seems more and more likely, then he would have been Piero di cosimo's pupil all along",,7,7,"Albertinelli, Mariotto",,,,,Same as 1938,,,
0000008-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,546.E,,8,8,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Monaco con libro in mano ,Monaco in gloria,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,8,8,,,,Monk with book in hand,,,,8,8,"Albertinelli, Mariotto",,,,,,,In BB 1961 title information added by pen,
0000009-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,547.E,,9,9,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Vergine Annunciata,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,9,9,,,,Madonna for an Annunciation,,,,9,9,"Albertinelli, Mariotto",,,,,,,,
