FlorentineDrawings_IdentifierBB1961,Object_image_URL_external
0001489-Berenson,http://www.britishmuseum.org/collectionimages/AN00572/AN00572244_001_l.jpg
0001029-Berenson,http://www.britishmuseum.org/collectionimages/AN00050/AN00050860_001_l.jpg
0001681-Berenson,http://www.britishmuseum.org/collectionimages/AN00055/AN00055877_001_l.jpg
0001512-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275708_001_l.jpg
0000410-Berenson,http://www.britishmuseum.org/collectionimages/AN00707/AN00707952_001_l.jpg
0001026-Berenson,http://www.britishmuseum.org/collectionimages/AN00200/AN00200186_001_l.jpg
0001025-Berenson,http://www.britishmuseum.org/collectionimages/AN00218/AN00218867_001_l.jpg
0001345-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051034_001_l.jpg
0001502-Berenson,http://www.britishmuseum.org/collectionimages/AN00556/AN00556369_001_l.jpg
0001685-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232982_001_l.jpg
001476A-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232852_001_l.jpg
0001477-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232979_001_l.jpg
0001495-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101921_001_l.jpg
0001497-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006733_001_l.jpg
0001501-Berenson,http://www.britishmuseum.org/collectionimages/AN00106/AN00106045_001_l.jpg
0001496-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101925_001_l.jpg
0001491-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101931_001_l.jpg
0001494-Berenson,http://www.britishmuseum.org/collectionimages/AN00220/AN00220268_001_l.jpg
0001492-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275709_001_l.jpg
0001509-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275710_001_l.jpg
0001504-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275715_001_l.jpg
0001488-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275724_001_l.jpg
0001487-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006742_001_l.jpg
0001513-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232993_001_l.jpg
0001490-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018257_001_l.jpg
0001480-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232846_001_l.jpg
0001499-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232880_001_l.jpg
0001680-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006744_001_l.jpg
0001518-Berenson,http://www.britishmuseum.org/collectionimages/AN00939/AN00939113_001_l.jpg
0001478-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232985_001_l.jpg
0001479-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101675_001_l.jpg
0001508-Berenson,http://www.britishmuseum.org/collectionimages/AN00235/AN00235483_001_l.jpg
001680A-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101941_001_l.jpg
0001483-Berenson,http://www.britishmuseum.org/collectionimages/AN00112/AN00112836_001_l.jpg
0001484-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006745_001_l.jpg
0001498-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101955_001_l.jpg
0001686-Berenson,http://www.britishmuseum.org/collectionimages/AN00842/AN00842979_001_l.jpg
