FlorentineDrawings_IdentifierBB1961,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Inventory_number,Object_repository_URI_corrected,Former_collection,Former_collection_URI,Former_collection_city,Former_collection_city_URI,Former_collection_country,Former_collection_country_URI,Former_collection_Inventory_Number,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
0000017-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,4,,,,,,,,,17,17,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Vergine Annunciata,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,17,17,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Virgin for Annunciation,,Early,,17,17,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,,
0000002-Berenson,Berlin,http://sws.geonames.org/2950159,Germany,http://sws.geonames.org/2921044,Kupferstichkabinett,http://viaf.org/viaf/132000764/,,,2309,,,,,,,,,2,2,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Due nudi di donna e due di fanciulli ,sei putti in diversi atteggiamenti,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,"Same as 1938, in Italian",,2,2,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Two nude women and two nude ,Six putti in various attitudes children,"Coarser than Fra Bartolommeo, and done with a more stubby pen",,2,2,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,Same as 1938,,,
0000003-Berenson,Berlin,http://sws.geonames.org/2950159,Germany,http://sws.geonames.org/2921044,Kupferstichkabinett,http://viaf.org/viaf/132000764/,,,5037,,,,,,,,,3,3,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,"Figura per la ""Visitazione"" degli Uffizi (n. 1586)",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,,,3,3,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Figure for the Uffizi Visitation,,,,3,3,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,,
0000004-Berenson,Berlin,http://sws.geonames.org/2950159,Germany,http://sws.geonames.org/2921044,Kupferstichkabinett,http://viaf.org/viaf/132000764/,,,5140,,,,,,,,,4,4,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Studi per una Madonna con Bambino,,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,4,4,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Sheet of studies for Madonna and Child,,The best in these materials,,4,4,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,Same as 1938,,,
0000001-Berenson,Amsterdam,http://sws.geonames.org/2759794,Netherlands,http://sws.geonames.org/2750405,Fodor Museum,http://viaf.org/viaf/263460775/,,,872,,,,,,,,,1,1,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Madonna con due Angeli e studi per fanciulli,,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,,,1,1,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,"Madonna with two angels, and studies of children",,,,1,1,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,,Check if Fodor Museum had been actually taken over by StedelijkMuseum
0000005-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,177.E,,,,,,,,,5,5,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Madonna con due Angeli e studi per fanciulli,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,5,5,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Madonna and Child,,"Ascribed to Fra Bartolomeo, but the coarse features and the fumbling stroke make it more probable that this drawing is Albertinelli's. The late Mr. Charles Loeser, in the Uffizi publication just referred to, would ascribe this little sketch to Piero di Cosimo. Much could be adduced in favour of this attribution as the likeness in the hatching and stroke between this sketch and others by Piero is undeniable. It can, however, be accounted for by Albertinelli's having been taught drawingin Piero's studio. The round head and deep-set eyes of the Child, so much like my 1852, could be explained in the same way. But, above all, I do not remember any composition of Piero's so close in pattern and contrapposto to both Fra Bartolomeo and Raphael. It looks like a drawing done in 1505 or 1508",,5,5,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,Same as 1938,,,
0000006-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,308.F,,,,,,,,,6,6,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Annunciazione,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,,,6,6,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Annunciation,,,,6,6,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,,
0000007-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,512.E,,,,,,,,,7,7,418,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Angelo annunciante,,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,7,7,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Angel for Annunciation in Cathedral at Volterra,,"Ascribed to Credi The folds in this sketch as in some of Albertinelli's paintings (notably the Volterra picture or the Pitti Nativity, n. 365) would tend to prove that Albertinelli was not at the start the pupil of Credi, but of ""Tommaso"". If, however, ""Tommaso"" was only a phase of Piero di Cosimo, as seems more and more likely, then he would have been Piero di cosimo's pupil all along",,7,7,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,Same as 1938,,,
0000008-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,546.E,,,,,,,,,8,8,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Monaco con libro in mano ,Monaco in gloria,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,8,8,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Monk with book in hand,,,,8,8,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,In BB 1961 title information added by pen,
0000009-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,547.E,,,,,,,,,9,9,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Vergine Annunciata,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,9,9,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Madonna for an Annunciation,,,,9,9,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,,
0000010-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,548.E,,,,,,,,,10,10,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Studi per Angeli che salgono gradini,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,10,10,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Studies of angels walking up steps,,,,10,10,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,"In BB 1961 the Inventory number ""458.A"" is wrong and there are comments added by pen  (Wrong number! Drawing by Peruzzi)",
000275A-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,549.E,,,,,,,,,275 A,275A,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Due putti e studio di veste,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,275 A,275A,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Two putti and study of garment,,"The garment may have been intended for a St. Michael in the Last Judgement. Compare with my 463.A, which I also used to attribute to Albertinelli",,11,11,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,,"""già 11"" was BB 1903 "
0000012-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,550.E,,,,,,,,,12,12,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Cristo in gloria con la Madonna e San Giovanni,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,12,12,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Christ in glory with Madonna and St. John,,,,12,12,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,,
0000013-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,556.E,,,,,,,,,13,13,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Trinità con santi e cherubini,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,13,13,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Trinity with cherubs and saints,,Kindred in subject but scarcely a study for the Trinity at the Accademia (n. 8660),,13,13,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,Same as 1938,,,
0000014-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,560.E,,,,,,,,,14,14,,,XLVIII,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Angelo con una croce ed una lancia ,Angelo in atto di suonare una tromba,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,"Studio per l'affresco del ""Giudizio Universale,"" già a Santa Maria Nuova ed ora nel Museo di San Marco, commesso a Fra bartolomeo nel 1498 e compiuto dall'Albertinelli nel 1501;",Studio per lo stesso affresco,14,14,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Angel with cross and lance ,Angel blowing trumpet,Study for the fresco of the Last Judgment ,Study for same,14,14,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,Same as 1938,,,
