FlorentineDrawings_Identifier,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Inventory_number,Object_repository_URI_corrected,Former_collection,Former_collection_URI,Former_collection_city,Former_collection_city_URI,Former_collection_country,Former_collection_country_URI,Former_collection_Inventory_Number,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
0000198-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,137.E,,,,,,,,,198,198,,,,Alessio Baldovinetti,http://vocab.getty.edu/ulan/500115745,School of,Due disegni montati insieme che già facevano parte di un unico foglio: Quattro figure in atteggiamenti diversi ,Cinque figure simili,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,"Same as 1938, in Italian",,198,198,Alesso Baldovinetti,http://vocab.getty.edu/ulan/500115745,School of,Four figures in various attitudes ,Five similar figures with pen only,"Of the same kind as the last, but less excellent copies",Closer to Baldovinetti than on observe,198,198,Alessio Baldovinetti,http://vocab.getty.edu/ulan/500115745,School of,,,Same as 1938,,In BB 1903 information about verso handwritten by pencil and added in BB 1938 edition ,
0000199-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,138.E,,,,,,,,,199,199,,,,Alessio Baldovinetti,http://vocab.getty.edu/ulan/500115745,School of,Due disegni montati insieme che già facevano parte di un unico foglio: Quattro figure in atteggiamenti diversi ,Cinque figure simili,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,"Same as 1938, in Italian",,199,199,Alesso Baldovinetti,http://vocab.getty.edu/ulan/500115745,School of,Four figures in various attitudes ,Five similar figures with pen only,"Of the same kind as the last, but less excellent copies",Closer to Baldovinetti than on observe,198,198,Alessio Baldovinetti,http://vocab.getty.edu/ulan/500115745,School of,,,Same as 1938,,In BB 1903 information about verso handwritten by pencil and added in BB 1938 edition ,
0000360-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,415.F,,,,,,,,,360,360,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Vari putti,,,black chalk,http://vocab.getty.edu/aat/300080058,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,"Same as 1938, in Italian",,360,360,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Various ""putti"" for same work, or for the Lucca God the Father",,,,360,360,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,,,,,,
0000361-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,417.F,,,,,,,,,361,361,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Vari putti,,,black chalk,http://vocab.getty.edu/aat/300080058,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,"Same as 1938, in Italian",,361,361,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Various ""putti"" for same work, or for the Lucca God the Father",,,,361,361,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,,,,,,
0000362-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,418.F,,,,,,,,,362,362,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Vari putti,,,black chalk,http://vocab.getty.edu/aat/300080058,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,"Same as 1938, in Italian",,362,362,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Various ""putti"" for same work, or for the Lucca God the Father",,,,362,362,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,,,,,,
0000363-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,419.F,,,,,,,,,363,363,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Vari putti,,,black chalk,http://vocab.getty.edu/aat/300080058,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,"Same as 1938, in Italian",,363,363,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Various ""putti"" for same work, or for the Lucca God the Father",,,,363,363,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,,,,,,
0000364-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,420.F,,,,,,,,,364,364,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Vari putti,,,black chalk,http://vocab.getty.edu/aat/300080058,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,"Same as 1938, in Italian",,364,364,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Various ""putti"" for same work, or for the Lucca God the Father",,,,364,364,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,,,,,,
0000365-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,421.F,,,,,,,,,365,365,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Vari putti,,,black chalk,http://vocab.getty.edu/aat/300080058,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,"Same as 1938, in Italian",,365,365,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Various ""putti"" for same work, or for the Lucca God the Father",,,,365,365,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,,,,,,
0000366-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,424.F,,,,,,,,,366,366,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Vari putti,,,black chalk,http://vocab.getty.edu/aat/300080058,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,"Same as 1938, in Italian",,366,366,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Various ""putti"" for same work, or for the Lucca God the Father",,,,366,366,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,,,,,,
0000367-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,425.F,,,,,,,,,367,367,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Vari putti,,,black chalk,http://vocab.getty.edu/aat/300080058,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,"Same as 1938, in Italian",,367,367,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Various ""putti"" for same work, or for the Lucca God the Father",,,,367,367,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,,,,,,
01897_1-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,1882-8-12-218,,,,,,,,,1897 ,1897,,,,Alunno di Benozzo,http://vocab.getty.edu/ulan/500299803,,"Due disegni sulla medesima montatura: 1) Due Santi, ciascuno con un libro in mano",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,Same as 1938,,1897 ,1897,Alunno di Benozzo,http://vocab.getty.edu/ulan/500299803,,"Two drawings in same mount. Two saints, each holding a book.",,Ascribed to Masolino,,1897 ,1897,Pier Francesco Fiorentino,http://vocab.getty.edu/ulan/500017084,,,,Same as 1938,,,
