FlorentineDrawings_term,AAT URI,Occurence in dataset,Notes
bister,http://vocab.getty.edu/aat/300013351,431,
black chalk,http://vocab.getty.edu/aat/300080058,1015,
lead,http://vocab.getty.edu/aat/300011022,2,occurs 2 times in dataset; merge with graphite? Drawings 1623 C and 1385 A
black pigment,http://vocab.getty.edu/aat/300013135,1,
chalk,http://vocab.getty.edu/aat/300011727,569,
charcoal,http://vocab.getty.edu/aat/300012862,401,
color,http://vocab.getty.edu/aat/300264870,2,
gold,http://vocab.getty.edu/aat/300011021,1,
graphite,http://vocab.getty.edu/aat/300011098,15,
ink,http://vocab.getty.edu/aat/300015012,1194,
metalpoint,http://vocab.getty.edu/aat/300404633,697,
oil,http://vocab.getty.edu/aat/300015050,2,
pastel,http://vocab.getty.edu/aat/300404632,1,occurs 1 time in dataset; Drawing 1062
raw umber,http://vocab.getty.edu/aat/300013414,4,
red chalk,http://vocab.getty.edu/aat/300080064,883,
red pigment,http://vocab.getty.edu/aat/300013533,3,"chose this term to replace ""traces of red"""
sepia,http://vocab.getty.edu/aat/300015025,3,
sinopia,http://vocab.getty.edu/aat/300013556,6,
tempera,http://vocab.getty.edu/aat/300015062,5,
umber,http://vocab.getty.edu/aat/300013402,7,
wash,http://vocab.getty.edu/aat/300011051,134,
watercolor,http://vocab.getty.edu/aat/300015045,51,
white lead,http://vocab.getty.edu/aat/300013754,282,
white pigment,http://vocab.getty.edu/aat/300013723,2,"chose this term to replace ""traces of white"""
